user name,comments
black_magic_specialist_guruji,"#पूजा_ विधि_द्वारा_कर्जा_मुक्ति_मनचाहा_प्यार_वर_वधू_सभी_समस्या_का_समाधान। कॉल करे-+91-89555-45742 ⭐🌟✨🌟🌠🌠📿📿💫💫 #शक्ति_का_चमत्कार_देखे। अपनी#किसी भी समस्या का समाधान तुरन्त #घर बैठे_हल_करवाए_वो_भी_💯% गारंटी के साथ। ☎️#कॉल&#whatsapp-+91-89555-457-42 #हमारी_सेवाएं:-speslist # vashikaran_mantra 2-LOVE PROBLEM SPECIALIST 3-BLACK MAGIC SPECIALIST 4-HUSBAND WIFE DISPUTE PROBLEM SOLUTION 5-LOVE VASHIKARAN SPECIALIST 6-VEDIC ASTROLOGY 7-JOB PROBLEM 8-COURT CASE 9- jaadu tona, foreign yatra, study, manglik dosh,kal sarp dosh etc.. #get_your_love_life #vashikaran specialist guruji pt.vk sharma📿 समस्या केसी भी हो _तुरन्त समाधान... #वशीकरण करवाना या तुड़वाना #किया कराया #सोतन से छुटकारा #सन्तान नहीं होना या होकर मर जाना #पति- पत्नि के झगडे #काल सर्प दोष #मांगलिक दोष आदि समस्याओं का समाधान तुरन्त घर बैठे #pt.vk. sharma ji+91-8955545742🕉️ 24 hours available..…🕉️"
abhy_viness,Inteha ho gai
havaldar_yadav38,Dolan aandolan karte hai
thezaheenhussain,4 days to go.!!!
thatcozyvibe,kb aa rhi hai mirzapur 2😁
_.nmn07,Kab he wo din🙄🥺
awadkar19,Jaldi
one_wise_lyf,Kab aayega
kilton_sharma,waiting for mirzapur 2😍😍😍
su.raj__ray,😍😍😍😍😍
imwasim08,Jldi laao yaar ab 2 sal ho gye bc
anushreemardi,Release kab hoga??? Date???
kamil_shayar,Ofter 2 week announce the release date thxxx @harshita1210
sudhansu.tripathy.5,🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🖤🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹🌹
mdmech.er,Abhibhi dubbing chal rahi hai Matlab aur 1 saal to aramse jayega
mdmech.er,Tub tak to interest bhi mar jata hai
miss_lazy_boness,Yayyyyyyyyyyyy ❤️❤️
hanif_aliza,Chalo kuch toh acha horaha hai 2020 mai 😍
skumarpal277,@primevideoin bhosadi walon Mirzapur ko gaad me bhar lihiyo ka dalon us ko
brutus9907utt,😍😍😍😍😍😍😢❤️
rohit_aggarwal011,Waiting for this since last season came❤️❤️❤️
a.j_jr_4,❤️❤️❤️❤️❤️❤️❤️
rohit_aggarwal011,Just eagerly waiting to watch it n I know everyone just love it🔥🔥
akshay_shetty21,Aisa bol bolke 2 saal nikal gaye.. jhute sapne mat dikhao madam 🤗
v_anshkumar,Nice jee
manishasingh2018s,Soo beautiful sayukta aap ka gana hame bhi sunna hai piz 💗💗💗
sipunkumar.88,🙌😍❤️ mirzapur 2
nitishk043,bhai jldi release krwa do nai to jis hisaab se 2020 chl ra h.. dunia kbi b khtm ho skti h.😂
riishu_pandit,welcome
bijon.01,❤️❤️😍
aship_lib,❤️❤️❤️
youth.square,😍😍
fabulous_ms7,Yeee...!!! 👍😃 That's great!! I'm eagerly waiting for Mirzapur part 2 and in the first part of Mirzapur is really awesome and I hope this one will more interesting and amazing one. All the best mam👍. And I can't control the happiness that when it gonna release but yes we have to wait or be patience for it but... 🤞😋☺️!! Love you mam💙💚 and take care 🤗
shubham_lede12,Kab aayenge woh din
tridibesh_das,Koi date bata do pls
deepthi_immanni,Stay safe!!❤️
advsatishdubey,Welcome back👌👌👌👌👌
___nodramaplz___,Didi please Jaldi Release karwao yrrr aur kitna Intzaar kare @harshita1210
devraaz17,Jldi laao yrrr....Bahut wait kr rha hu😭😭😭❤
harsudz1807,@harshitagaur1210 mam jaldi release date announce kariye.... 2 saal hone ko arha season 1 ko aye...
crazyfanofsandhirmansi,Can't waittt 😍😍
prasunmannainsta,@harshita1210 date batao plzzzz plzzz
swathi.1709,😍😍😍😍😍
rigved_girkar,Release date nhi jaana ab bas jaldi laado🔥🔥
mr_xkartik,Kash wo din kal ho
abhijeetb0803,Love You Beautiful 💋💋💋💋🔥🔥🔥🔥🔥🔥❤️❤️❤️❤️❤️❤️
abhi_kangude,usi din ka to intezaar hai...
mayank_r_0812,boht zaida wait hu gya
_nitin_singla02,That smile😍❤️
jotu_prabhakar,Yeaah yeaahhhh😍😍❤️❤️❤️
ta_ishq,Plsss release it soon!!!
bhatt4653,When will have mirjapur 2 ?????
priyadudwa164_official,Please please please please please please please please diiiiiiiiiiii reply me iam your big fan after seeing sadda haq plzz 🙏 please dii😘😍😘
priyadudwa164_official,Love you diii♥️
sauravkumar6261,👌👌
priyadudwa164_official,Love you so much much much❤️😘😍
harshita_mysunshine,Finally 🤗 #DimpyPandit is here 💖 can't wait to see you back onscreen 😭
harshita_mysunshine,Please take care of yourself ❣️ stay safe 🙏
shahid_fatima_,Wah jee👏
vedannttttttt,Ek hint toh de dijiye release date ka?
briantennyson4,To iske liye tum hamare gate pe chle aye
the_real_owais_khan,Dimpy PANDIT pta ny kaahe lkn aapko apne devar ki maut ka dukh ny hai...😂😂 By the way u nailed ur parts♥️♥️
n.i.t.i.n.s.h.a.r.m.a,inbox mein date bta do 😅😅
safwanansarie,Approximately?😬
_nitin_singla02,Aakhir aa hi gyi aapki bari bhi❤️
vaibhav_yendole,Kya badhiya baat sunayi wahhh😍🐼
bunny_subhash,❤️❤️
bunny_subhash,😘😘
__paras__01_,😍😍😍
urimrannn,👍
urimrannn,👌
urimrannn,🔥
